@tick,ticktime
244,1.79359E7
245,5298999.0
246,5370701.0
247,6037000.0
248,7074600.0
249,5807399.0
250,5206401.0
251,1.80342E7
252,5296599.0
253,5460501.0
254,6058700.0
255,5332601.0
256,5215600.0
257,5784100.0
258,2.03429E7
259,5544800.0
260,5946600.0
261,5801300.0
262,5712300.0
263,5224801.0
264,1.73295E7
265,5020700.0
266,6867500.0
267,6223600.0
268,5569001.0
269,5125500.0
270,7390200.0
271,2.09427E7
272,8746400.0
273,8340400.0
274,7144100.0
275,1.88971E7
276,7863900.0
277,7608400.0
278,7131000.0
279,6660000.0
280,2.15786E7
281,7448099.0
282,8633200.0
283,7117400.0
284,7101200.0
285,1.9281801E7
286,6802700.0
287,7794801.0
288,7322299.0
289,7547301.0
290,1.84289E7
291,6579701.0
292,7826500.0
293,7643000.0
294,7014300.0
295,6829400.0
296,1.93561E7
297,9447400.0
298,9301900.0
299,8983399.0
300,2.09622E7
301,8762999.0
302,9667300.0
303,9384099.0
304,2.06859E7
305,8233500.0
306,8567199.0
307,8273900.0
308,7766801.0
309,1.9168199E7
310,8520300.0
311,8712099.0
312,8104799.0
313,1.92312E7
314,6868400.0
315,7599000.0
316,8030100.0
317,7101100.0
318,1.97642E7
319,8759800.0
320,9321401.0
321,7996600.0
322,7900300.0
323,1.9150699E7
324,7709801.0
325,9351299.0
326,7329001.0
327,7121300.0
328,2.20352E7
329,9138800.0
330,8270900.0
331,9228500.0
332,1.83795E7
333,7913000.0
334,8618801.0
335,9183401.0
336,7380801.0
337,1.8598901E7
338,7700000.0
339,8511000.0
340,6950200.0
341,7345100.0
342,1.86195E7
343,7770399.0
344,8324700.0
345,7486599.0
346,7240400.0
347,1.9289901E7
348,8497799.0
349,9042100.0
350,8593800.0
351,2.00042E7
352,8021799.0
353,9064100.0
354,8354599.0
355,8435299.0
356,2.0244001E7
357,9047899.0
358,9069600.0
359,8462800.0
360,1.9415099E7
361,8684801.0
362,8991599.0
363,8806601.0
364,8043900.0
365,1.9399901E7
366,8607700.0
367,8787300.0
368,8130400.0
369,1.92399E7
370,7553301.0
371,9074900.0
372,1.0453099E7
373,7771300.0
374,1.86287E7
375,9880900.0
376,8116701.0
377,7153200.0
378,7688599.0
379,1.8759699E7
380,7476801.0
381,7691799.0
382,7615600.0
383,7978800.0
384,1.8513101E7
385,7983600.0
386,8019899.0
387,7806500.0
388,7624100.0
389,1.83657E7
390,7792000.0
391,9255200.0
392,8445200.0
393,1.9760901E7
394,8485301.0
395,9332699.0
396,8511499.0
397,8197699.0
398,1.90067E7
399,8500501.0
400,9889299.0
401,8820900.0
402,1.9727899E7
403,7510300.0
404,9032900.0
405,8136799.0
406,8495300.0
407,1.95539E7
408,8480300.0
409,9484001.0
410,9475500.0
411,2.05308E7
412,1.22192E7
413,1.1129399E7
414,1.05327E7
415,2.0802E7
416,1.05338E7
417,9870300.0
418,9830500.0
419,1.97837E7
420,1.41727E7
421,1.05861E7
422,2.25351E7
423,9918500.0
424,9190501.0
425,8660701.0
426,1.91486E7
427,9657800.0
428,1.0340001E7
429,9034899.0
430,1.9831E7
431,9717100.0
432,1.06945E7
433,8924701.0
434,9449001.0
435,2.03937E7
436,1.17484E7
437,1.04703E7
438,2.14122E7
439,1.15007E7
440,1.13782E7
441,1.04179E7
